# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# Sun Jan 21 03:16:11 2018
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
2,FS,66,0:09.668.167,2.166 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,67,0:09.668.170,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 06 00 00 0A 00 5F 34
2,FS,68,0:09.668.179,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,69,0:09.668.192,26.250 us,,,02,00,   IN txn (STALL)   [2 POLL],
2,FS,70,0:09.668.192,17.750 us,,,02,00,      [2 IN-NAK],
2,FS,71,0:09.668.214,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,72,0:09.668.217,750 ns,1 B,,02,00,      STALL packet,1E
0,FS,73,0:09.669.041,2.083 us,,,,,[1 SOF],[Frame: 491] 
0,FS,74,0:09.669.161,51.333 us,0 B,,02,00,Control Transfer (STALL),Index=0 Length=10
1,FS,75,0:09.669.161,12.666 us,8 B,,02,00,   SETUP txn,80 06 00 06 00 00 0A 00
2,FS,76,0:09.669.161,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,77,0:09.669.164,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 06 00 00 0A 00 5F 34
2,FS,78,0:09.669.173,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,79,0:09.669.185,26.833 us,,,02,00,   IN txn (STALL)   [2 POLL],
2,FS,80,0:09.669.185,17.833 us,,,02,00,      [2 IN-NAK],
2,FS,81,0:09.669.208,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,82,0:09.669.211,750 ns,1 B,,02,00,      STALL packet,1E
0,FS,83,0:09.670.041,2.083 us,,,,,[1 SOF],[Frame: 492] 
0,FS,84,0:09.670.241,83.083 us,9 B,,02,00,Get Configuration Descriptor,Index=0 Length=9
1,FS,85,0:09.670.241,12.666 us,8 B,,02,00,   SETUP txn,80 06 00 02 00 00 09 00
2,FS,86,0:09.670.241,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,87,0:09.670.245,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 02 00 00 09 00 AE 04
2,FS,88,0:09.670.253,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,89,0:09.670.266,44.000 us,9 B,,02,00,   IN txn   [3 POLL],09 02 82 00 04 01 00 80 FA
2,FS,90,0:09.670.266,26.250 us,,,02,00,      [3 IN-NAK],
2,FS,91,0:09.670.297,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,92,0:09.670.300,8.183 us,12 B,,02,00,      DATA1 packet,4B 09 02 82 00 04 01 00 80 FA AD 31
2,FS,93,0:09.670.309,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,94,0:09.670.317,7.333 us,0 B,,02,00,   OUT txn,
2,FS,95,0:09.670.317,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,96,0:09.670.321,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,97,0:09.670.324,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,98,0:09.671.041,2.083 us,,,,,[1 SOF],[Frame: 493] 
0,FS,99,0:09.671.131,272.333 us,130 B,,02,00,Get Configuration Descriptor,Index=0 Length=130
1,FS,100,0:09.671.131,12.666 us,8 B,,02,00,   SETUP txn,80 06 00 02 00 00 82 00
2,FS,101,0:09.671.131,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,102,0:09.671.134,7.416 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 02 00 00 82 00 C8 F4
2,FS,103,0:09.671.143,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,104,0:09.671.155,97.833 us,64 B,,02,00,   IN txn   [5 POLL],09 02 82 00 04 01 00 80 FA 09 04 00 00 02 08 06 50 07 07 05 82 02 40 00…
2,FS,105,0:09.671.155,43.416 us,,,02,00,      [5 IN-NAK],
2,FS,106,0:09.671.203,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,107,0:09.671.206,44.850 us,67 B,,02,00,      DATA1 packet,4B 09 02 82 00 04 01 00 80 FA 09 04 00 00 02 08 06 50 07 07 05 82 02 40…
2,FS,108,0:09.671.252,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,109,0:09.671.258,92.250 us,64 B,,02,00,   IN txn   [5 POLL],08 0B 01 02 02 02 01 04 09 04 01 00 01 02 02 01 04 05 24 00 10 01 05 24…
2,FS,110,0:09.671.258,37.833 us,,,02,00,      [5 IN-NAK],
2,FS,111,0:09.671.300,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,112,0:09.671.303,44.750 us,67 B,,02,00,      DATA0 packet,C3 08 0B 01 02 02 02 01 04 09 04 01 00 01 02 02 01 04 05 24 00 10 01 05…
2,FS,113,0:09.671.349,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,114,0:09.671.355,34.166 us,2 B,,02,00,   IN txn   [3 POLL],00 00
2,FS,115,0:09.671.355,20.916 us,,,02,00,      [3 IN-NAK],
2,FS,116,0:09.671.380,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,117,0:09.671.383,3.516 us,5 B,,02,00,      DATA1 packet,4B 00 00 FE 4F
2,FS,118,0:09.671.388,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,119,0:09.671.396,7.250 us,0 B,,02,00,   OUT txn,
2,FS,120,0:09.671.396,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,121,0:09.671.399,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,122,0:09.671.402,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,123,0:09.672.041,2.083 us,,,,,[1 SOF],[Frame: 494] 
0,FS,124,0:09.672.132,75.833 us,4 B,,02,00,Get String Descriptor,Index=0 Length=255
1,FS,125,0:09.672.132,12.750 us,8 B,,02,00,   SETUP txn,80 06 00 03 00 00 FF 00
2,FS,126,0:09.672.132,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,127,0:09.672.135,7.516 us,11 B,,02,00,      DATA0 packet,C3 80 06 00 03 00 00 FF 00 D4 64
2,FS,128,0:09.672.144,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,129,0:09.672.161,32.333 us,4 B,,02,00,   IN txn   [2 POLL],04 03 09 04
2,FS,130,0:09.672.161,18.000 us,,,02,00,      [2 IN-NAK],
2,FS,131,0:09.672.183,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,132,0:09.672.186,4.750 us,7 B,,02,00,      DATA1 packet,4B 04 03 09 04 09 78
2,FS,133,0:09.672.192,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,134,0:09.672.200,7.333 us,0 B,,02,00,   OUT txn,
2,FS,135,0:09.672.200,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,136,0:09.672.204,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,137,0:09.672.207,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,138,0:09.673.041,2.083 us,,,,,[1 SOF],[Frame: 495] 
0,FS,139,0:09.673.131,109.083 us,36 B,,02,00,Get String Descriptor,Index=2 Length=255
1,FS,140,0:09.673.131,12.750 us,8 B,,02,00,   SETUP txn,80 06 02 03 09 04 FF 00
2,FS,141,0:09.673.131,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,142,0:09.673.135,7.516 us,11 B,,02,00,      DATA0 packet,C3 80 06 02 03 09 04 FF 00 97 DB
2,FS,143,0:09.673.143,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,144,0:09.673.156,70.250 us,36 B,,02,00,   IN txn   [4 POLL],24 03 44 00 41 00 50 00 4C 00 69 00 6E 00 6B 00 20 00 43 00 4D 00 53 00…
2,FS,145,0:09.673.156,34.583 us,,,02,00,      [4 IN-NAK],
2,FS,146,0:09.673.195,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,147,0:09.673.198,26.083 us,39 B,,02,00,      DATA1 packet,4B 24 03 44 00 41 00 50 00 4C 00 69 00 6E 00 6B 00 20 00 43 00 4D 00 53…
2,FS,148,0:09.673.225,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,149,0:09.673.233,7.333 us,0 B,,02,00,   OUT txn,
2,FS,150,0:09.673.233,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,151,0:09.673.236,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,152,0:09.673.240,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,153,0:09.674.041,2.083 us,,,,,[1 SOF],[Frame: 496] 
0,FS,154,0:09.674.217,82.250 us,8 B,,02,00,Get String Descriptor,Index=1 Length=255
1,FS,155,0:09.674.217,12.750 us,8 B,,02,00,   SETUP txn,80 06 01 03 09 04 FF 00
2,FS,156,0:09.674.217,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
2,FS,157,0:09.674.220,7.516 us,11 B,,02,00,      DATA0 packet,C3 80 06 01 03 09 04 FF 00 97 E8
2,FS,158,0:09.674.229,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,159,0:09.674.241,43.333 us,8 B,,02,00,   IN txn   [3 POLL],08 03 41 00 52 00 4D 00
2,FS,160,0:09.674.241,26.333 us,,,02,00,      [3 IN-NAK],
2,FS,161,0:09.674.272,2.083 us,3 B,,02,00,      IN packet,69 02 A8
2,FS,162,0:09.674.275,7.416 us,11 B,,02,00,      DATA1 packet,4B 08 03 41 00 52 00 4D 00 A7 AB
2,FS,163,0:09.674.284,750 ns,1 B,,02,00,      ACK packet,D2
1,FS,164,0:09.674.292,7.333 us,0 B,,02,00,   OUT txn,
2,FS,165,0:09.674.292,2.083 us,3 B,,02,00,      OUT packet,E1 02 A8
2,FS,166,0:09.674.295,2.083 us,3 B,,02,00,      DATA1 packet,4B 00 00
2,FS,167,0:09.674.298,750 ns,1 B,,02,00,      ACK packet,D2
0,FS,168,0:09.675.042,2.083 us,,,,,[1 SOF],[Frame: 497] 
0,FS,169,0:09.675.217,196.583 us,98 B,,02,00,Get String Descriptor,Index=3 Length=255
1,FS,170,0:09.675.217,12.666 us,8 B,,02,00,   SETUP txn,80 06 03 03 09 04 FF 00
2,FS,171,0:09.675.217,2.083 us,3 B,,02,00,      SETUP packet,2D 02 A8
