# Total Phase Data Center(tm) v6.73
# (c) 2005-2017 Total Phase, Inc.
# www.totalphase.com
#
# Sun Jan 21 03:16:11 2018
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
3,FS,3476,0:11.358.813,44.933 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3477,0:11.358.859,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3478,0:11.358.865,84.500 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3479,0:11.358.865,29.833 us,,,02,02,         [4 IN-NAK],
3,FS,3480,0:11.358.899,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3481,0:11.358.903,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3482,0:11.358.949,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3483,0:11.358.954,84.416 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3484,0:11.358.954,29.750 us,,,02,02,         [4 IN-NAK],
3,FS,3485,0:11.358.989,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3486,0:11.358.992,44.933 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3487,0:11.359.038,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3488,0:11.359.043,84.500 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3489,0:11.359.043,29.833 us,,,02,02,         [4 IN-NAK],
3,FS,3490,0:11.359.078,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3491,0:11.359.081,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3492,0:11.359.127,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3493,0:11.359.133,161.416 us,64 B,,02,02,      IN txn   [1 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3494,0:11.359.133,4.000 us,,,02,02,         [1 IN-NAK],
3,FS,3495,0:11.359.244,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3496,0:11.359.247,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3497,0:11.359.293,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3498,0:11.359.299,93.083 us,64 B,,02,02,      IN txn   [5 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3499,0:11.359.299,38.416 us,,,02,02,         [5 IN-NAK],
3,FS,3500,0:11.359.342,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3501,0:11.359.345,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3502,0:11.359.391,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3503,0:11.359.397,84.416 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3504,0:11.359.397,29.750 us,,,02,02,         [4 IN-NAK],
3,FS,3505,0:11.359.431,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3506,0:11.359.434,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3507,0:11.359.480,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3508,0:11.359.486,84.500 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3509,0:11.359.486,29.833 us,,,02,02,         [4 IN-NAK],
3,FS,3510,0:11.359.520,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3511,0:11.359.523,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3512,0:11.359.570,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3513,0:11.359.575,84.500 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3514,0:11.359.575,29.833 us,,,02,02,         [4 IN-NAK],
3,FS,3515,0:11.359.609,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3516,0:11.359.613,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3517,0:11.359.659,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3518,0:11.359.664,84.500 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3519,0:11.359.664,29.916 us,,,02,02,         [4 IN-NAK],
3,FS,3520,0:11.359.699,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3521,0:11.359.702,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3522,0:11.359.748,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3523,0:11.359.753,84.666 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3524,0:11.359.753,30.000 us,,,02,02,         [4 IN-NAK],
3,FS,3525,0:11.359.788,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3526,0:11.359.791,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3527,0:11.359.837,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3528,0:11.359.843,84.416 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3529,0:11.359.843,29.833 us,,,02,02,         [4 IN-NAK],
3,FS,3530,0:11.359.877,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3531,0:11.359.881,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3532,0:11.359.927,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3533,0:11.359.932,110.333 us,64 B,,02,02,      IN txn   [7 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3534,0:11.359.932,55.750 us,,,02,02,         [7 IN-NAK],
3,FS,3535,0:11.359.992,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3536,0:11.359.996,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3537,0:11.360.042,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3538,0:11.360.047,84.416 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3539,0:11.360.047,29.750 us,,,02,02,         [4 IN-NAK],
3,FS,3540,0:11.360.082,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3541,0:11.360.085,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3542,0:11.360.131,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3543,0:11.360.136,158.000 us,64 B,,02,02,      IN txn   [1 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3544,0:11.360.136,4.083 us,,,02,02,         [1 IN-NAK],
3,FS,3545,0:11.360.244,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3546,0:11.360.248,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3547,0:11.360.294,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3548,0:11.360.301,86.666 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3549,0:11.360.301,31.583 us,,,02,02,         [4 IN-NAK],
3,FS,3550,0:11.360.338,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3551,0:11.360.341,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3552,0:11.360.387,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3553,0:11.360.392,84.416 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3554,0:11.360.392,29.833 us,,,02,02,         [4 IN-NAK],
3,FS,3555,0:11.360.427,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3556,0:11.360.430,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3557,0:11.360.476,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3558,0:11.360.482,84.416 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3559,0:11.360.482,29.833 us,,,02,02,         [4 IN-NAK],
3,FS,3560,0:11.360.516,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3561,0:11.360.520,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3562,0:11.360.566,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3563,0:11.360.571,84.416 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3564,0:11.360.571,30.000 us,,,02,02,         [4 IN-NAK],
3,FS,3565,0:11.360.606,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3566,0:11.360.609,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3567,0:11.360.655,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3568,0:11.360.660,83.500 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3569,0:11.360.660,29.166 us,,,02,02,         [4 IN-NAK],
3,FS,3570,0:11.360.694,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3571,0:11.360.697,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3572,0:11.360.743,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3573,0:11.360.751,111.666 us,64 B,,02,02,      IN txn   [7 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3574,0:11.360.751,57.333 us,,,02,02,         [7 IN-NAK],
3,FS,3575,0:11.360.812,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3576,0:11.360.816,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3577,0:11.360.862,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3578,0:11.360.869,94.500 us,64 B,,02,02,      IN txn   [5 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3579,0:11.360.869,39.916 us,,,02,02,         [5 IN-NAK],
3,FS,3580,0:11.360.914,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3581,0:11.360.917,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3582,0:11.360.963,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3583,0:11.360.968,92.000 us,64 B,,02,02,      IN txn   [5 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3584,0:11.360.968,37.583 us,,,02,02,         [5 IN-NAK],
3,FS,3585,0:11.361.010,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3586,0:11.361.014,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3587,0:11.361.060,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3588,0:11.361.065,93.500 us,64 B,,02,02,      IN txn   [5 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3589,0:11.361.065,38.416 us,,,02,02,         [5 IN-NAK],
3,FS,3590,0:11.361.109,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3591,0:11.361.112,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3592,0:11.361.158,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3593,0:11.361.244,50.083 us,64 B,,02,02,      IN txn,00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3594,0:11.361.244,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3595,0:11.361.248,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3596,0:11.361.294,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3597,0:11.361.299,84.250 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3598,0:11.361.299,29.250 us,,,02,02,         [4 IN-NAK],
3,FS,3599,0:11.361.333,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3600,0:11.361.337,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3601,0:11.361.383,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3602,0:11.361.388,85.083 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3603,0:11.361.388,30.416 us,,,02,02,         [4 IN-NAK],
3,FS,3604,0:11.361.423,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3605,0:11.361.427,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3606,0:11.361.473,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3607,0:11.361.480,84.250 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3608,0:11.361.480,29.833 us,,,02,02,         [4 IN-NAK],
3,FS,3609,0:11.361.514,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3610,0:11.361.517,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3611,0:11.361.563,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3612,0:11.361.569,109.333 us,64 B,,02,02,      IN txn   [7 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3613,0:11.361.569,54.833 us,,,02,02,         [7 IN-NAK],
3,FS,3614,0:11.361.628,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3615,0:11.361.631,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3616,0:11.361.677,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3617,0:11.361.683,83.666 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3618,0:11.361.683,29.250 us,,,02,02,         [4 IN-NAK],
3,FS,3619,0:11.361.716,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3620,0:11.361.720,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3621,0:11.361.766,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3622,0:11.361.771,84.916 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3623,0:11.361.771,30.000 us,,,02,02,         [4 IN-NAK],
3,FS,3624,0:11.361.806,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3625,0:11.361.809,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3626,0:11.361.855,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3627,0:11.361.861,85.916 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3628,0:11.361.861,30.833 us,,,02,02,         [4 IN-NAK],
3,FS,3629,0:11.361.897,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3630,0:11.361.900,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3631,0:11.361.946,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3632,0:11.361.953,85.416 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3633,0:11.361.953,31.000 us,,,02,02,         [4 IN-NAK],
3,FS,3634,0:11.361.989,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3635,0:11.361.992,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3636,0:11.362.038,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3637,0:11.362.043,92.333 us,64 B,,02,02,      IN txn   [5 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3638,0:11.362.043,37.916 us,,,02,02,         [5 IN-NAK],
3,FS,3639,0:11.362.086,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3640,0:11.362.089,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3641,0:11.362.135,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3642,0:11.362.140,154.166 us,64 B,,02,02,      IN txn   [1 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3643,0:11.362.140,4.083 us,,,02,02,         [1 IN-NAK],
3,FS,3644,0:11.362.245,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3645,0:11.362.248,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3646,0:11.362.294,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3647,0:11.362.300,92.750 us,64 B,,02,02,      IN txn   [5 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3648,0:11.362.300,38.250 us,,,02,02,         [5 IN-NAK],
3,FS,3649,0:11.362.342,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3650,0:11.362.346,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3651,0:11.362.392,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3652,0:11.362.399,119.500 us,64 B,,02,02,      IN txn   [8 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3653,0:11.362.399,64.416 us,,,02,02,         [8 IN-NAK],
3,FS,3654,0:11.362.469,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3655,0:11.362.472,44.933 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3656,0:11.362.518,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3657,0:11.362.523,85.333 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3658,0:11.362.523,30.500 us,,,02,02,         [4 IN-NAK],
3,FS,3659,0:11.362.559,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3660,0:11.362.562,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3661,0:11.362.608,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3662,0:11.362.615,85.250 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3663,0:11.362.615,30.166 us,,,02,02,         [4 IN-NAK],
3,FS,3664,0:11.362.650,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3665,0:11.362.654,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3666,0:11.362.700,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3667,0:11.362.707,96.166 us,64 B,,02,02,      IN txn   [5 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3668,0:11.362.707,40.916 us,,,02,02,         [5 IN-NAK],
3,FS,3669,0:11.362.753,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3670,0:11.362.757,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3671,0:11.362.803,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3672,0:11.362.810,92.750 us,64 B,,02,02,      IN txn   [5 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3673,0:11.362.810,38.250 us,,,02,02,         [5 IN-NAK],
3,FS,3674,0:11.362.853,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3675,0:11.362.856,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3676,0:11.362.902,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3677,0:11.362.907,83.916 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3678,0:11.362.907,29.416 us,,,02,02,         [4 IN-NAK],
3,FS,3679,0:11.362.941,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3680,0:11.362.944,44.850 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3681,0:11.362.991,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3682,0:11.362.996,83.833 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3683,0:11.362.996,29.333 us,,,02,02,         [4 IN-NAK],
3,FS,3684,0:11.363.030,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3685,0:11.363.033,44.850 us,67 B,,02,02,         DATA0 packet,C3 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3686,0:11.363.079,750 ns,1 B,,02,02,         ACK packet,D2
2,FS,3687,0:11.363.085,84.916 us,64 B,,02,02,      IN txn   [4 POLL],00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3688,0:11.363.085,30.416 us,,,02,02,         [4 IN-NAK],
3,FS,3689,0:11.363.120,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3690,0:11.363.123,44.933 us,67 B,,02,02,         DATA1 packet,4B 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00…
3,FS,3691,0:11.363.169,750 ns,1 B,,02,02,         ACK packet,D2
1,FS,3692,0:11.363.416,15.916 us,13 B,,02,02,   Status Transport,Passed
2,FS,3693,0:11.363.416,15.916 us,13 B,,02,02,      IN txn,55 53 42 53 12 00 00 00 00 00 00 00 00
3,FS,3694,0:11.363.416,2.083 us,3 B,,02,02,         IN packet,69 02 81
3,FS,3695,0:11.363.419,10.750 us,16 B,,02,02,         DATA0 packet,C3 55 53 42 53 12 00 00 00 00 00 00 00 00 8D 12
3,FS,3696,0:11.363.431,750 ns,1 B,,02,02,         ACK packet,D2
0,FS,3697,0:11.364.241,61.009.250 ms,,,,,[62 SOF],[Frames: 138 - 199] 
0,FS,3698,0:11.417.253,8.155.166 ms,4096 B,,02,02,Read [0],LBA = 131072 Length = 8 blocks (Passed)
1,FS,3699,0:11.417.253,28.000 us,31 B,,02,02,   Command Transport,
2,FS,3700,0:11.417.253,28.000 us,31 B,,02,02,      OUT txn,55 53 42 43 13 00 00 00 00 10 00 00 80 00 0A 28 00 00 02 00 00 00 00 08…
3,FS,3701,0:11.417.253,2.083 us,3 B,,02,02,         OUT packet,E1 02 81
3,FS,3702,0:11.417.256,22.750 us,34 B,,02,02,         DATA0 packet,C3 55 53 42 43 13 00 00 00 00 10 00 00 80 00 0A 28 00 00 02 00 00 00 00…
